ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1900044,Gabrielle Daleman,F,NA,NA,NA,CAN,CAN,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900045,Loena Hendrickx,F,NA,NA,NA,BEL,BEL,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900046,Kailani Craine,F,NA,NA,NA,AUS,AUS,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900047,Nicole Schott,F,NA,NA,NA,GER,GER,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900048,Maé-Bérénice Meité,F,NA,NA,NA,FRA,FRA,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900049,Emmi Peltonen,F,NA,NA,NA,FIN,FIN,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900050,Alexia Paganini,F,NA,NA,NA,SUI,SUI,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900051,Li Xiangning,F,NA,NA,NA,CHN,CHN,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900052,Ivett Tóth,F,NA,NA,NA,HUN,HUN,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900053,Isadora Williams,F,NA,NA,NA,BRA,BRA,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900054,Larkyn Austman,F,NA,NA,NA,CAN,CAN,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900055,Diāna Ņikitina,F,NA,NA,NA,LAT,LAT,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900056,Giada Russo,F,NA,NA,NA,ITA,ITA,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900057,Anita Östlund,F,NA,NA,NA,SWE,SWE,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900058,Anya Khnychenkova,F,NA,NA,NA,UKR,UKR,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900059,Ayza Mambekova,F,NA,NA,NA,KAZ,KAZ,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Singles, Women",NA
1900060,Aljona Sawtchenko,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900061,Bruno Massot,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900062,Sui Wenjing,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900063,Han Cong,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900064,Meagan Duhamel,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900065,Eric Radford,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900066,Yevgeniya Tarasova,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900067,Vladimir Morozov,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900068,Vanessa James,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900069,Morgan Ciprès,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900070,Valentina Marchei,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900071,Ondřej Hotárek,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900072,Nataliya Zabiyako,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900073,Aleksandr Enbert,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900074,Yu Xiaoyu,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900075,Zhang Hao,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900076,Julianne Séguin,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900077,Charlie Bilodeau,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900078,Nicole Della Monica,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900079,Matteo Guarise,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900080,Kirsten Moore-Towers,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900081,Michael Marinaro,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900082,Kristina Astakhova,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900083,Aleksey Rogonov,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900084,Ryom Tae-Ok,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900085,Kim Ju-Sik,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900086,Anna Dušková,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900087,Martin Bidař,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900088,Alexa Scimeca Knierim,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900089,Chris Knierim,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900090,Annika Hocke,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900091,Ruben Blommaert,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900092,Peng Cheng,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900093,Jin Yang,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900094,Ekaterina Alexandrovskaya,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900095,Harley Windsor,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900096,Paige Conners,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900097,Evgeni Krasnopolski,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900098,Miriam Ziegler,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900099,Severin Kiefer,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900100,Miu Suzaki,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900101,Ryuichi Kihara,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900102,Kim Gyu-Eun,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900103,Alex Gam,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Pairs, Mixed",NA
1900104,Tessa Virtue,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900105,Scott Moir,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900106,Gabriella Papadakis,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900107,Guillaume Cizeron,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900108,Maia Shibutani,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900109,Alex Shibutani,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900110,Madison Hubbell,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900111,Zach Donohue,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900112,Yekaterina Bobrova,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900113,Dmitry Solovyov,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900114,Anna Cappellini,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900115,Luca Lanotte,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900116,Kaitlyn Weaver,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900117,Andrew Poje,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900118,Piper Gilles,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900119,Paul Poirier,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900120,Madison Chock,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900121,Evan Bates,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900122,Charlène Guignard,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900123,Marco Fabbri,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900124,Penny Coomes,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900125,Nick Buckland,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900126,Sara Hurtado,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900127,Kirill Khaliavin,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900128,Tiffani Zagorski,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900129,Dzhonatan Gureyro,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900130,Natalia Kaliszek,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900131,Maksym Spodyriew,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900132,Kana Muramoto,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900133,Chris Reed,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900134,Kavita Lorenz,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900135,Joti Polizoakis,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900136,Marie-Jade Lauriault,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900137,Romain Le Gac,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900138,Min Yu-Ra,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900139,Aleksandr Gamelin,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900140,Alisa Agafonova,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900141,Alper Uçar,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900142,Lucie Myslivečková,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900143,Lukáš Csölley,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900144,Oleksandra Nazarova,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900145,Max Nikitin,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900146,Wang Shiyue,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900147,Liu Xinyu,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900148,Cortney Mansourová,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900149,Michal Češka,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900150,Adel Tankova,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900151,Rony Zilberberg,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Ice Dance, Mixed",NA
1900152,Patrick Chan,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900153,Gabrielle Daleman,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900154,Kaetlyn Osmond,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900155,Meagan Duhamel,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900156,Eric Radford,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900157,Tessa Virtue,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900158,Scott Moir,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900159,Keegan Messing,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900160,Larkyn Austman,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900161,Kirsten Moore-Towers,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900162,Michael Marinaro,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900163,Julianne Séguin,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900164,Charlie Bilodeau,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900165,Piper Gilles,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900166,Paul Poirier,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900167,Kaitlyn Weaver,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900168,Andrew Poje,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900169,Mikhail Kolyada,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900170,Yevgeniya Medvedeva,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900171,Alina Zagitova,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900172,Yevgeniya Tarasova,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900173,Vladimir Morozov,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900174,Nataliya Zabiyako,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900175,Aleksandr Enbert,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900176,Yekaterina Bobrova,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900177,Dmitry Solovyov,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900178,Mariya Sotskova,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900179,Kristina Astakhova,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900180,Aleksey Rogonov,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900181,Tiffani Zagorski,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
1900182,Dzhonatan Gureyro,M,NA,NA,NA,,,2018 Winter,2018,Winter,PyeongChang,Figure Skating,"Figure Skating Team, Mixed",NA
