ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1700123,Sean Waddilove,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700124,Sébastien Schneiter,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700125,Lucien Cujean,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700126,Lucas Rual,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700127,Émile Amoros,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700128,Marco Grael,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700129,Gabriel Borges,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700130,KC Ganapathy,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700131,Varun Thakkar,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700132,Benjamin Daniel,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700133,Alex Burger,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700134,Will Jones,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700135,Evan DePaul,M,NA,NA,NA,,,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Skiff (49er), Men",NA
1700136,Giles Scott,M,NA,NA,NA,GBR,GBR,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Heavyweight Dinghy (Finn), Men",Gold
1700137,Zsombor Berecz,M,NA,NA,NA,HUN,HUN,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Heavyweight Dinghy (Finn), Men",Silver
1700138,Joan Cardona,M,NA,NA,NA,ESP,ESP,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Heavyweight Dinghy (Finn), Men",Bronze
1700139,Nicholas Heiner,M,NA,NA,NA,NED,NED,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Heavyweight Dinghy (Finn), Men",NA
1700140,Josh Junior,M,NA,NA,NA,NZL,NZL,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Heavyweight Dinghy (Finn), Men",NA
1700141,Facundo Olezza,M,NA,NA,NA,ARG,ARG,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Heavyweight Dinghy (Finn), Men",NA
1700142,Jake Lilley,M,NA,NA,NA,AUS,AUS,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Heavyweight Dinghy (Finn), Men",NA
1700143,Alican Kaynar,M,NA,NA,NA,TUR,TUR,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Heavyweight Dinghy (Finn), Men",NA
1700144,Max Salminen,M,NA,NA,NA,SWE,SWE,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Heavyweight Dinghy (Finn), Men",NA
1700145,Tom Ramshaw,M,NA,NA,NA,CAN,CAN,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Heavyweight Dinghy (Finn), Men",NA
1700146,Anders Pedersen,M,NA,NA,NA,NOR,NOR,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Heavyweight Dinghy (Finn), Men",NA
1700147,Giannis Mittakis,M,NA,NA,NA,GRE,GRE,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Heavyweight Dinghy (Finn), Men",NA
1700148,Luke Muller,M,NA,NA,NA,USA,USA,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Heavyweight Dinghy (Finn), Men",NA
1700149,Jorge Zarif,M,NA,NA,NA,BRA,BRA,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Heavyweight Dinghy (Finn), Men",NA
1700150,Chen He,M,NA,NA,NA,CHN,CHN,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Heavyweight Dinghy (Finn), Men",NA
1700151,Kazumasa Segawa,M,NA,NA,NA,JPN,JPN,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Heavyweight Dinghy (Finn), Men",NA
1700152,Juan Pérez,M,NA,NA,NA,MEX,MEX,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Heavyweight Dinghy (Finn), Men",NA
1700153,Andrés Lage,M,NA,NA,NA,VEN,VEN,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Heavyweight Dinghy (Finn), Men",NA
1700154,Leo Davis,M,NA,NA,NA,RSA,RSA,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing One-Person Heavyweight Dinghy (Finn), Men",NA
1700155,Lu Yunxiu,F,NA,NA,NA,CHN,CHN,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Women",Gold
1700156,Charline Picon,F,NA,NA,NA,FRA,FRA,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Women",Silver
1700157,Emma Wilson,F,NA,NA,NA,GBR,GBR,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Women",Bronze
1700158,Marta Maggetti,F,NA,NA,NA,ITA,ITA,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Women",NA
1700159,Lilian de Geus,F,NA,NA,NA,NED,NED,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Women",NA
1700160,Katy Spychakov,F,NA,NA,NA,ISR,ISR,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Women",NA
1700161,Lærke Buhl-Hansen,F,NA,NA,NA,DEN,DEN,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Women",NA
1700162,Hayley Victoria Chan,F,NA,NA,NA,HKG,HKG,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Women",NA
1700163,Zofia Noceti-Klepacka,F,NA,NA,NA,POL,POL,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Women",NA
1700164,Patrícia Freitas,F,NA,NA,NA,BRA,BRA,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Women",NA
1700165,Blanca Manchón,F,NA,NA,NA,ESP,ESP,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Women",NA
1700166,Yuki Sunaga,F,NA,NA,NA,JPN,JPN,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Women",NA
1700167,María Belén Bazo,F,NA,NA,NA,PER,PER,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Women",NA
1700168,Tuuli Petäjä-Sirén,F,NA,NA,NA,FIN,FIN,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Women",NA
1700169,Farrah Hall,F,NA,NA,NA,USA,USA,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Women",NA
1700170,Ingrid Puusta,F,NA,NA,NA,EST,EST,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Women",NA
1700171,Siripon Kaewduang-Ngam,F,NA,NA,NA,THA,THA,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Women",NA
1700172,Demita Vega,F,NA,NA,NA,MEX,MEX,2020 Summer,2020,Summer,Tokyo,Sailing,"Sailing Windsurfer (Neil Pryde RS:X), Women",NA
